"music_id_raw","artist","title","latest_distributor_name"
"music:61401185","Dalia","What if","Audiosalad Direct"
"music:13852656","Madlib","Dil Cosby Interlude","Audiosalad Direct"
"music:56684604","PF Xavi","Not Ready","Audiosalad Direct"
"music:32374254","William McDowell","Never Going Back (I Won't Go Back Reprise)","Audiosalad Direct"
"music:56252684","Jodie Marie ASMR","Black Country Maid Cleans you up Pt.3","Audiosalad Direct"
"music:49483770","Spookyli","Fried","Audiosalad Direct"
"music:58169637","Soothing Piano Melodies & Schlaflieder Für Kinder & Ivory Mood","Soothing Piano for Better Sleep","Audiosalad Direct"
"music:54999714","bashexx","introvert","Audiosalad Direct"
"music:41954644","D.Meletis","Pucci All Themes (From 'Stone Ocean Part 3') (Epic Version)","Audiosalad Direct"
"music:33905907","Chill Energy & Lofi For Energy & Energetic Upbeat Lofi","Upbeat Energy","Audiosalad Direct"
"music:59079831","Lullaby Players","Pink Skies (Instrumental)","Audiosalad Direct"
"music:64387177","pluvia & Stormour","Dusk Universe Enlightenment","Audiosalad Direct"
"music:34860470","Solfeggio Frequencies, Hz Frequency Zone, Chakra Frequencies","528 Hz Positive Vibrations","Audiosalad Direct"
"music:56202219","Tony Bomboni","Kylie Jenner's Sassy Personal Assistant (ASMR RolePlay)","Audiosalad Direct"
"music:36813733","Olivet Oakland","God‘s Got It (Remastered) (Live)","Audiosalad Direct"
"music:36750664","Lonnie Hunter and Structure","Wade In The Water","Audiosalad Direct"
"music:56358366","Kofi Akeman","Fine Fine Baby (Freestyle)","Audiosalad Direct"
"music:36306596","Lynn Cinnamon ASMR","Sparkle Crinkle Pages Pt.2","Audiosalad Direct"
"music:62330474","Thee Sinseers & Joey Quinones","Like I Can Give (Instrumental)","Audiosalad Direct"
"music:37601377","Gospel Enforcers","Praise The Lord","Audiosalad Direct"
"music:38609128","TingleStorm ASMR","Hearing Test, but You CAN Close Your Eyes Pt.2","Audiosalad Direct"
"music:35452296","Braille, Ohmega Watts, Surreal, DJ Idull","Pass the Mic to Theory Hazit","Audiosalad Direct"
"music:37601561","Gold Heart","Summertime","Audiosalad Direct"
"music:56091328","hemiptera exodus","Auchenorrhyncha","Audiosalad Direct"
"music:35997338","Mansion Accompaniment Tracks","I Will Glory in the Cross (Traditional Arrangement) (Accompaniment Track)","Audiosalad Direct"
"music:56720427","Rafael Lumina","Dança dos Primos","Audiosalad Direct"
"music:49426086","Parminder Sandhu","Meri Behn Da Deor","Audiosalad Direct"
"music:58950144","Country Gospel Music","Moonlight Serenade on the Range","Audiosalad Direct"
"music:52331670","Tunes Dog","Frisky Dog","Audiosalad Direct"
"music:59737336","Sinan Vllasaliu & Besniket","Sdo Tkem Nuse","Audiosalad Direct"
"music:50734547","Pitch Hammer & Michelle Richards","Stomp Clap","Audiosalad Direct"
"music:45798292","Eiem feat. Creyente.7, Leandro Caamaño, Nico Castro & Dozer","DUNAMIS","Audiosalad Direct"
"music:34740989","Guitar Instrumentals & Relaxing Acoustic Guitar & Chill Guitar Music","Coastal Cliffs Canticle","Audiosalad Direct"
"music:65472799","Jlm","Come Into My Life","Audiosalad Direct"
"music:46281324","Weihnachtslieder Collection & Kinderweihnacht & Weihnachts Lieder","Silver Angels Come to Disappear","Audiosalad Direct"
"music:63301027","coke the bear","Snow Algebra","Audiosalad Direct"
"music:28100624","Various Artists","Festival Vogosca 2009","Audiosalad Direct"
"music:46315082","Zen Zone","gravity of love","Audiosalad Direct"
"music:56179105","Erikgonzalez","Warm N Fuzzy","Audiosalad Direct"
"music:59674611","Fukkit","Change Your Mind","Audiosalad Direct"
"music:36434272","White Noise Radiance","Sounds of a Lake","Audiosalad Direct"
"music:34959228","Jennie Abrahamson","Snowstorm","Audiosalad Direct"
"music:36767011","Charlie Bommarito","Down San Diego Way","Audiosalad Direct"
"music:40267603","Mammoth","Lug","Audiosalad Direct"
"music:33164899","Buddy Guy","This Is the End (Take 3)","Audiosalad Direct"
"music:53616967","sentynal","LOVE // СОЖГИ ФЕВРАЛЬ","Audiosalad Direct"
"music:32749316","Hilary Woods","Birthmarks","Audiosalad Direct"
"music:56168446","hatetheos","Violence is key","Audiosalad Direct"
"music:35922885","Cha3bi Maroc","شعبي مغربي نايضة لجميع الأفراح والأعراس","Audiosalad Direct"
"music:56509370","Rockabye Baby In The Treetops","Row Row Row Your Boat","Audiosalad Direct"
"music:36343917","Youth Code","Anagnorisis","Audiosalad Direct"
"music:34624588","Christophe Beck","Orientation","Audiosalad Direct"
"music:32753930","Orchestre national de jazz de Montréal & Bendik Hofseth","Rontgen (LIVE)","Audiosalad Direct"
"music:33290330","Brujeria","Radio Advertisement","Audiosalad Direct"
"music:36932263","Josefina Gniste","Sträcker upp våra händer","Audiosalad Direct"
"music:35818374","Ben Copperhead","Sweet Control","Audiosalad Direct"
"music:38728545","Scottish Murmurs ASMR","THE 10 LEVEL BRAINGASM Pt.3","Audiosalad Direct"
"music:38706835","Thunder and Rain","sound of rain and thunder","Audiosalad Direct"
"music:39052111","Shul-Z feat. Ryan Haynes","Everything Meant to Me Always","Audiosalad Direct"
"music:34496271","Josh Lopez","Great","Audiosalad Direct"
"music:41980738","The Aquarius and God","Rewrapped in Love","Audiosalad Direct"
"music:34413951","Evergreen Terrace","Manifestation Of Anger","Audiosalad Direct"
"music:37307940","Disruptive LoFi & Lounge Music Café","Background Jazz Music","Audiosalad Direct"
"music:56584381","Miracly","Sleep Music","Audiosalad Direct"
"music:56064273","Luke Fischer","Swag walk","Audiosalad Direct"
"music:43495082","Christmas Songs, Christmas Music Mix & Instrumental Christmas","Christmas Spirit Shines Bright","Audiosalad Direct"
"music:33214735","Timothy Fife","Cut!!!","Audiosalad Direct"
"music:62507844","Nano Sounds & Tailormade Ocean Waves & MALTA PROJECT","Malta Healing Audio Journey","Audiosalad Direct"
"music:34716887","Various Artists","Picante! (...An Exciting Journey Into Mambo & Latin Music!)","Audiosalad Direct"
"music:34058757","The Salt Collective featuring Anton Barbeau","A Piece of Candy","Audiosalad Direct"
"music:65376885","Dead Voices On Air","Exhume Me","Audiosalad Direct"
"music:61917970","Cow Wave 83","รั้งไว้ทำไม","Audiosalad Direct"
"music:41009454","Yoko Shimomura","Up for the Challenge","Audiosalad Direct"
"music:36296723","The White Rabbit ASMR","Dangerous Objects","Audiosalad Direct"
"music:13864266","Karriem Riggins","Suite Outro – Hodge, Poyser, Riggins","Audiosalad Direct"
"music:32601718","Air Dubai","Hit The Dark","Audiosalad Direct"
"music:37394501","Crossroads Performance Tracks","Heaven's Hero (Performance Track with Background Vocals in F)","Audiosalad Direct"
"music:56508161","Cancion De Navidad","Lejos en un Pesebre","Audiosalad Direct"
"music:56397184","Qari Abdul Salam","Surah Yusuf verse 21-35","Audiosalad Direct"
"music:59099083","Corvyx","Confident","Audiosalad Direct"
"music:65119727","Teethe","Ammo","Audiosalad Direct"
"music:59648878","Lia Veyn","Soft Prose Ultimate","Audiosalad Direct"
"music:56131658","Sleep Rain Memories","Buddhist Ritual","Audiosalad Direct"
"music:62893521","Henri De Toulouse","Shout","Audiosalad Direct"
"music:38777715","Diesel","All Your Love","Audiosalad Direct"
"music:27492888","Phoenix","Water Flight (Wizards Official Trailer Music)","Audiosalad Direct"
"music:37667141","Piano Dreamers","Casual (Instrumental)","Audiosalad Direct"
"music:34762875","Maher Shalal Hash Baz","An Afternoon","Audiosalad Direct"
"music:32715360","Grayskul","How To Load A Tech","Audiosalad Direct"
"music:61841263","Pop Goes & Populi","First Little Pumpkin","Audiosalad Direct"
"music:56673361","Ambient Music Vibes","The Story of Two","Audiosalad Direct"
"music:35025995","The Zombies","Breathe Out, Breathe In","Audiosalad Direct"
"music:38355051","Jojo's ASMR","Moist Tingles Pt.1","Audiosalad Direct"
"music:56624502","Klaartje Postma","Dragonfly Wing","Audiosalad Direct"
"music:24545664","Lofi Sunday","For the Summer","Audiosalad Direct"
"music:55798673","Offenbach","Rock de v'lours","Audiosalad Direct"
"music:56066189","lilgrape3733","Kingdom BuckyDread sister Valrie","Audiosalad Direct"
"music:56474228","kingle","Neon Socks","Audiosalad Direct"
"music:48502407","Originales Navideños & Mix de Musica Navideña & Mix Navideño 2023","Entre Sueños de Navidad","Audiosalad Direct"
"music:65702330","Star Chasers, Universatility Group","Death Lane Phonk","Audiosalad Direct"
"music:40271933","ASMR Art of Sound","Goose & Bamboo Together","Audiosalad Direct"
"music:56144640","Dream Web","Nada","Audiosalad Direct"
"music:64932530","Diamond_Tunes","Yellow Bell","Audiosalad Direct"
"music:56678020","Mackensy Carlman","Young Wolf","Audiosalad Direct"
"music:39932031","XmafaX","Requiem for The Noble Warrior","Audiosalad Direct"
"music:56537443","Sonidos Marinos Para Dormir","Sonidos del Mar para un Sueño Reparador, Descansa Profundamente","Audiosalad Direct"
"music:37144282","SpiritFit Music","Proverbs 25","Audiosalad Direct"
"music:37394587","Crossroads Performance Tracks","He Forgot (Demonstration in C#)","Audiosalad Direct"
"music:41245552","Confidence Man","CONTROL / REAL MOVE TOUCH","Audiosalad Direct"
"music:39200581","Piano Mood 钢琴心情","祝福","Audiosalad Direct"
"music:37617575","John Bowman","Family Chain","Audiosalad Direct"
"music:56363856","SRNTY","Cosmical","Audiosalad Direct"
"music:48384735","Coro Infantil Manuel Pardo de Chiclayo & Coro Infantil de Villancicos","Cristales de Esperanza","Audiosalad Direct"
"music:34739814","Palberta","Corner Store","Audiosalad Direct"
"music:48096117","Von","MOMMY 2.0","Audiosalad Direct"
"music:36658548","Pretoria","Seven","Audiosalad Direct"
"music:56578150","astroneer","Winice","Audiosalad Direct"
"music:64343621","Wildwood Valley Boys","When Jesus Comes Down","Audiosalad Direct"
"music:56190789","Vachy Da Trxp Kid","3am","Audiosalad Direct"
"music:56126758","Andreas Røysum Ensemble","Hina Hina","Audiosalad Direct"
"music:51184153","Musica Navideña Para Estudiar & Canciones Para Posadas & Villancicos Para Hornear","Villancicos Modernos en Lo-Fi para el Espíritu Festivo","Audiosalad Direct"
"music:38194623","GAMO","Forget about it","Audiosalad Direct"
"music:56093753","Sun Of The Sleepless","To the Moon on Summer Eves","Audiosalad Direct"
"music:58788804","Reggae Beats","So Our Love Is Eternal","Audiosalad Direct"
"music:12573686","Fela Kuti & Egypt 80","Live In Detroit 1986","Audiosalad Direct"
"music:56081946","Baby Sleep Spot","Rain Sleep Meditation (Part 9)","Audiosalad Direct"
"music:39867739","Lo'fi Boy","I'm Fucking Sad","Audiosalad Direct"
"music:32893287","Alasdair Roberts","The Crook of My Arm","Audiosalad Direct"
"music:40272682","fastASMR","More Scalp Massaging","Audiosalad Direct"
"music:56059239","Neon Neon","Praxis Makes Perfect","Audiosalad Direct"
"music:36816566","Pastor Debra B. Morton","Reprise / Exhortation","Audiosalad Direct"
"music:36297198","Jinx ASMR","Helping You Go To Sleep ASAP Pt.1","Audiosalad Direct"
"music:56708743","Wave Maze","Bumpin","Audiosalad Direct"
"music:48612733","Upbeat Study Music","Harmonic Highs","Audiosalad Direct"
"music:56547585","johnny mase & Asco100k","One And Only","Audiosalad Direct"
"music:32602174","Bon Iver","I Can't Make You Love Me (AIR Studios – 4AD/Jagjaguwar Session)","Audiosalad Direct"
"music:35858887","Diego And The Dissidents","Explosions","Audiosalad Direct"
"music:56054292","David Josteinn","Lonely Bassline","Audiosalad Direct"
"music:36834586","Tui","Pretty Little Mister","Audiosalad Direct"
"music:65374435","Lewis Parker","Go Head Wid Ya Self","Audiosalad Direct"
"music:61857120","eKoes, Cajjmere Wray","Tears for Dumbledore","Audiosalad Direct"
"music:48877119","DJ Shone & Fox","Mamba","Audiosalad Direct"
"music:62343987","Red Shadows, Universatility Group","slow motion bounce","Audiosalad Direct"
"music:44883488","Creepy Carnival Songs & Creepy Clown Songs & Spooky Clown Music","Eerie Footsteps","Audiosalad Direct"
"music:34287418","Locklord Lerry","The Very Last Try","Audiosalad Direct"
"music:46113747","Micheline","Arrivée","Audiosalad Direct"
"music:43752456","slowly","Gilded Voyage","Audiosalad Direct"
"music:56649779","Halfway to Holland","An American Ocean","Audiosalad Direct"
"music:36133279","Penguin Piano","Toxic (Piano Version)","Audiosalad Direct"
"music:53596836","High Vibes Now! & Pineal Gland Activator & Serenity Monk","Pineal Gland Rejuvenation - 85 Hz Frequencies","Audiosalad Direct"
"music:56115122","Slow Sound","Space Modulation - Delta Sinus 132Hz - 134z","Audiosalad Direct"
"music:56565885","Smarmy","Cherry Tobacco","Audiosalad Direct"
"music:61846357","Musica Para Concentrarse & Musica de Fondo Para Concentrarse & Musica Para Enfocarse y Trabajar","Beats para Inspiración","Audiosalad Direct"
"music:32721411","Sa-Roc","40 And A Mule","Audiosalad Direct"
"music:32731869","Bobby Oroza","Lonely Girl (Instrumental)","Audiosalad Direct"
"music:37378262","Ben Speer","God's Children Be Gone","Audiosalad Direct"
"music:49460724","LO-FI BEATS & Copyright Free Lofi & Lofi","A Warm December in Lofi","Audiosalad Direct"
"music:56679480","Luz Nocturna","Baila o Muere","Audiosalad Direct"
"music:39703351","Rapunzel ASMR","Satisfying Scalp Check and Healing Scalp Treatment Pt.3","Audiosalad Direct"
"music:56201389","TheOneLilium ASMR","Whisper Ramble while Cleaning Your Ears, Pt. 1","Audiosalad Direct"
"music:60406398","Lu130","pass away","Audiosalad Direct"
"music:35858306","Delia Gonzalez & Gavin Russom","Track 5","Audiosalad Direct"
"music:35389523","Naughty By Nature","Feel Me Flow (Re-Recorded) ((Re-Recorded))","Audiosalad Direct"
"music:56133005","Snöras","Lucid River","Audiosalad Direct"
"music:59031800","DNKNN","Melodyne (Original Mix)","Audiosalad Direct"
"music:56387056","WhispersRed ASMR","Asmr Massage London Tingle Treatment","Audiosalad Direct"
"music:44923009","Solfeggio Waves","639 Hz Harmonious Connections","Audiosalad Direct"
"music:60424354","Lo-Fi Nature & LO-FI BEATS & holydope","Lofi Sunset - Golden Hour Relaxation","Audiosalad Direct"
"music:36460643","Asian Lofi","Sad Lofi HipHop Beat","Audiosalad Direct"
"music:56489422","Rastbeats","Intro","Audiosalad Direct"
"music:56191152","lil jway","2 wrongs dont make it right","Audiosalad Direct"
"music:34417083","Zoningo AI","Trance Inducing Rhythms","Audiosalad Direct"
"music:35454450","Dino","The Haven of Rest","Audiosalad Direct"
"music:46190971","Jolly Christmas Music & Christmas Music HD & Xmas Covers","Christmas Moonlight Magic","Audiosalad Direct"
"music:38005397","Barabe","Lazni prijatelj","Audiosalad Direct"
"music:56133143","Torg","Make Her Swirl","Audiosalad Direct"
"music:56192302","MariAndreina ASMR","Exfoliante Labial De Limon","Audiosalad Direct"
"music:58510141","Murkish, r4vn, Kaleidokitty","Hell Fire Club","Audiosalad Direct"
"music:37264634","Yudha Paramata","Nyerenges","Audiosalad Direct"
"music:33163456","Mose McCormack","Tennessee","Audiosalad Direct"
"music:36261754","Smooth Jazz & Cafe lounge Jazz & Relaxing Instrumental Jazz Ensemble","Chill Beats Cafe","Audiosalad Direct"
"music:47518587","DJ VARO OVERNIGHT","TIDAK PERNAH FYP (Original Mix)","Audiosalad Direct"
"music:65490135","never known","Neon Fogo","Audiosalad Direct"
"music:47410326","Christmas Jazz Ensemble & Christmas Vibes & Christmas 2020","Snowman Songs 2024","Audiosalad Direct"
"music:56100052","Brooke Arielle","Skimming the Water","Audiosalad Direct"
"music:36101051","Fontaines D.C.","A Hero's Death (Soulwax Remix)","Audiosalad Direct"
"music:48749959","Country Christmas Music & Country Christmas Songs & Country Christmas Playlist","Snowflakes and Sweethearts","Audiosalad Direct"
"music:59411764","Thomas Lillibridge & DJGASSS","YOU'RE NOT ALONE","Audiosalad Direct"
"music:33348015","Melt Yourself Down","Big Children (Gran Zanfan)","Audiosalad Direct"
"music:45549589","Peaceful Frequencies & Avian Echoes & Echoes of Life","Spring Control","Audiosalad Direct"
"music:33311981","A Race Of Angels","Hiding in the Light","Audiosalad Direct"
"music:56220521","Shadrach Job","Tuak mboroko","Audiosalad Direct"
"music:40187853","Saxophone Jazz","Jazz Chill Beat","Audiosalad Direct"
"music:56297223","TipToe Tingles ASMR","200 Fast and Aggressive Triggers Pt.48","Audiosalad Direct"
"music:56413418","Batala's ASMR","Sleep Inducing Triggers That Will Make You Calm and Sleeeepy","Audiosalad Direct"
"music:56463367","Glüme","Do Me A Favor","Audiosalad Direct"
"music:31810619","FlmanVsTheWorld","A Million And One","Audiosalad Direct"
"music:39758359","Voqa Ni Delai Dokidoki","Josefa Takalaivuna","Audiosalad Direct"
"music:61858528","Pika Man, Universatility Group","radiant calm","Audiosalad Direct"
"music:56641346","Mila Stark","Flammen der Freiheit","Audiosalad Direct"
