"artist","title","total_plays","total_engagements","unique_users","geo_country","geo_region"
"Vybz Kartel","God is The Greatest","160599","627","88524","GH","AA"
"Siicie & Lasmid","Do You Know?","76512","526","48245","GH","AA"
"Erma","DYANA","40093","297","26086","NG","LA"
"Siicie","Alhamdulillah","30096","274","18978","GH","AA"
"Fido","Awolowo","79812","184","66171","NG","LA"
"Dxtiny","Uncle Pele","64705","166","42792","NG","LA"
"Erma","DYANA","22431","144","14849","NG","FC"
"Siicie & Lasmid","Do You Know?","22909","143","14170","NG","LA"
"TheFeyiii & Boy Muller","Forex Boys","30660","140","12752","NG","LA"
"Inès Raguël","Je Tombe","33197","140","29038","NG","LA"
"Vybz Kartel","God is The Greatest","25658","133","17593","GH","AH"
"Erma","DYANA","20392","132","15035","GH","AA"
"Siicie & Lasmid","Do You Know?","14558","118","10902","GH","AH"
"Dxtiny","Uncle Pele","37609","102","25546","NG","FC"
"Erma","DYANA","10618","101","7392","NG","OY"
"Squash","Know Bout Dat","14055","93","6381","JM","01"
"Erma","DYANA","15057","90","9238","NG","RI"
"Mitski","My Love Mine All Mine","1611","90","526","US","TX"
"Siicie","Alhamdulillah","6950","89","4306","GH","AH"
"Taken","Para","11528","78","59","NG","LA"
"Elgit Doda & Noizy","Vetes ja bom ne","11598","77","3093","AL","11"
"Dxtiny","Uncle Pele","28571","76","19801","NG","RI"
"Peeray","Remember","12095","72","7299","NG","LA"
"Ruth B. & Dean Lewis","28 (with Dean Lewis)","13787","72","10134","NG","LA"
"Dxtiny","Babcock","21482","71","6810","NG","LA"
"TheFeyiii & Boy Muller","Forex Boys","13067","70","5303","NG","RI"
"Vybz Kartel","God is The Greatest","12897","70","7979","JM","01"
"Siicie","Alhamdulillah","8338","67","6852","NG","LA"
"Mitski","My Love Mine All Mine","871","65","427","US","CA"
"JJ DOOM, MF DOOM, Jneiro Jarel","Key to the Kuffs","0","64","1","JM","14"
"TheFeyiii & Boy Muller","Forex Boys","16546","63","7186","NG","FC"
"Fido","Awolowo","28009","62","24031","NG","FC"
"Kvng Vinci & Zerrydl","HAUSAPIANO (Remix)","23533","59","18115","NG","LA"
"Fido","Awolowo (Remix)","17690","56","14688","NG","LA"
"Viqtorioz feat. Shakkar","Cosign","6604","56","4561","GH","AA"
"Siicie & Lasmid","Do You Know?","13626","56","8254","NG","FC"
"Vybz Kartel","Amout","8593","56","6215","GH","AA"
"Vybz Kartel","Viking (Vybz Is King): 10th Year Anniversary","0","56","1827","GH","AA"
"Taken","Para","6368","56","30","NG","KN"
"Inès Raguël","Je Tombe","11797","55","9767","GH","AA"
"Chronic Law","One Life","3196","54","2162","JM","01"
"Squash","Like This","4699","54","3399","JM","01"
"Vybz Kartel","Str8 Vybz","9810","54","7467","GH","AA"
"Mitski","My Love Mine All Mine","675","53","343","US","FL"
"RajahWild & Cash Code","Planet To Planet","17909","53","11620","JM","01"
"Inès Raguël","Je Tombe","15227","52","13277","NG","FC"
"Erma","DYANA","6409","52","4804","NG",
"Vybz Kartel","Dreams Are Made Of","13618","51","9413","GH","AA"
"Mitski","My Love Mine All Mine","618","50","319","US","NY"
"Siicie & Lasmid","Do You Know?","6292","49","4163","NG","OY"
"Doncarta","Chance","4943","49","1773","NG","LA"
"Inès Raguël","Je Tombe","20079","48","17996","TZ","02"
"Siicie & Lasmid","Do You Know?","8641","48","5168","NG","RI"
"Fido","Awolowo","26101","44","22011","NG","OY"
"Vybz Kartel","It A Tape","7118","44","5105","GH","AA"
"Kvng Vinci & Zerrydl","HAUSAPIANO (Remix)","14535","43","12045","NG","FC"
"døpelym","GUALA","661","42","415","CI","AB"
"Erma","DYANA","4497","42","3454","GH","AH"
"TheFeyiii & Boy Muller","Forex Boys","9860","41","4275","NG","OY"
"Vybz Kartel","Unstoppable","6632","40","4861","GH","AA"
"Squash","Know Bout Dat","7925","40","3550","JM",
"Fido","Awolowo","16392","40","13746","NG","RI"
"Tay Iwar","Reflection Station","8746","40","7238","NG","LA"
"Inès Raguël","Je Tombe","11646","39","10331","NG","OY"
"Fido","Awolowo","8837","38","6527","GH","AA"
"Ruth B. & Dean Lewis","28 (with Dean Lewis)","6991","38","4385","GH","AA"
"Elgit Doda & Noizy","Vetes ja bom ne","6665","38","1797","XK",
"Siicie & Lasmid","Do You Know?","1719","37","1420","NG","IM"
"Peeray","Remember","6023","37","3328","GH","AA"
"Finem","BLING BLING","7371","37","3591","XK",
"Dxtiny","Uncle Pele","11438","37","9215","NG",
"Malie Donn","Mr. President","2171","35","1713","JM","01"
"BASSYY, TORRRES","OMW","5438","35","2520","PR",
"Erma","DYANA","4071","35","3045","NG","AN"
"Julie Doiron","August 10","1905","33","815","US","TX"
"Dxtiny","Babcock","9588","33","3609","NG","RI"
"Mitski","My Love Mine All Mine","1559","33","809","PH","00"
"Vybz Kartel","Polite","5285","32","3904","GH","AA"
"Peeray","Remember","6945","32","4583","NG","FC"
"Viqtorioz feat. Shakkar","Cosign","2500","32","1232","NG","LA"
"Mitski","My Love Mine All Mine","478","31","164","US","NC"
"Dxtiny","Uncle Pele","12039","31","7395","GH","AA"
"Eddy G Bomba & Cash Code","Luigi","15319","31","10773","JM","01"
"Bryant Myers","Como Panas","2189","31","1110","PR",
"Mitski","My Love Mine All Mine","213","30","123","US","VA"
"Vybz Kartel feat. Ishawna","Porn Flick","3215","30","2546","GH","AA"
"Buta","Vivaldi","7419","29","2487","XK",
"Chronic Law","One Life","1837","29","1158","JM",
"Dxtiny","Babcock","10439","29","4128","NG","FC"
"Kvng Vinci & Zerrydl","HAUSAPIANO (Remix)","472","29","289","SL","W"
"Fido","Awolowo (Remix)","7061","28","5993","NG","FC"
"Mitski","My Love Mine All Mine","606","28","174","US","IL"
"Squash","Like This","1152","28","659","GY","DE"
"Dxtiny","Uncle Pele","16291","28","11590","NG","OY"
"Vybz Kartel","God is The Greatest","8709","27","5039","JM",
"Vybz Kartel","Gon' Get Better","3044","27","2404","GH","AA"
"Squash","Like This","2701","27","1927","JM",
"Vybz Kartel","Dancehall","2830","27","2236","GH","AA"
"Fido","Awolowo (Remix)","5297","26","4530","NG","OY"
"Kuami Eugene","Confusion","3462","26","2822","GH","AA"
"Kvng Vinci & Zerrydl","HAUSAPIANO (Remix)","8216","26","6536","NG","RI"
"Squash","Know Bout Dat","1068","26","340","US","NY"
"Peeray","Remember","6027","26","3776","NG","RI"
"TheFeyiii & Boy Muller","Forex Boys","3927","26","1636","NG","ED"
"Inès Raguël","Je Tombe","8207","26","7230","NG","RI"
"Erma","DYANA","4675","26","2891","NG","ED"
"Mitski","My Love Mine All Mine","445","25","235","US","GA"
"Siicie","Alhamdulillah","5075","25","4259","NG","FC"
"RIECHY","SAD STORY","583","25","492","GH","AA"
"Vybz Kartel","Enchanting","2589","25","2044","GH","AA"
"Inès Raguël","Je Tombe","4528","25","4107","HT","OU"
"Anodaboy","Mon Bébé","2398","25","2075","GH","AA"
"Vybz Kartel","God is The Greatest","5251","24","3143","NG","LA"
"Pappy Jonah","Hold The Bed (Ta Ta Ta)","6478","23","3979","GH","AA"
"Siicie & Lasmid","Do You Know?","3340","23","2311","SL","W"
"Buta","Si Dje Si Sot","4707","23","1755","XK",
"Mitski","My Love Mine All Mine","827","23","489","PH","40"
"Vybz Kartel","Amout","5198","23","3838","JM","01"
"Matolale","Asaj","6564","23","2052","AL","11"
"Tay Iwar","Reflection Station","2601","23","2187","NG","OY"
"FAVE","N.B.U","7220","23","5456","NG","LA"
"Tanveer Evan","Jaane Kyun","1336","23","843","BD","C"
"Squash","Know Bout Dat","1694","23","920","JM","14"
"Dxtiny","Uncle Pele","6164","22","3755","SL","W"
"Tekno","Wash","5131","22","3917","NG","LA"
"Peeray","Remember","2847","22","1852","NG","OY"
"Buta","Nalt","6485","21","2210","XK",
"Squash","Know Bout Dat","2707","21","1343","JM","08"
"Ayetian","Bagga Rrr","7715","21","5280","JM","01"
"Inès Raguël","Je Tombe","2341","21","1988","GH","AH"
"Dafina Zeqiri","Ta Dish","5628","21","2980","XK",
"Dxtiny","Uncle Pele","7649","21","6177","NG","AN"
"Anodaboy","Mon Bébé","2339","21","2124","NG","LA"
"Tommy Lee Sparta feat. Attomatic & Dan Sky","Price","8410","21","5153","JM","01"
"Siicie","Alhamdulillah","2153","21","1922","NG","OY"
"Siicie & Lasmid","Do You Know?","3725","20","2761","NG",
"Tay Iwar","Reflection Station","4564","20","3448","NG","FC"
"Taken","Para","3059","20","29","NG","FC"
"Viqtorioz feat. Shakkar","Cosign","1093","20","894","GH","AH"
"Mitski","My Love Mine All Mine","183","19","121","US","PA"
"Siicie","Alhamdulillah","3343","19","2774","NG","RI"
"RajahWild & Cash Code","Planet To Planet","10423","19","6657","JM",
"Ayetian","Bagga Rrr","4996","19","2799","GY","DE"
"Ceo Guccii","Soulja Gurl","473","19","138","US","TX"
"Mitski","My Love Mine All Mine","548","19","404","PH","07"
"Limoblaze","Calling (Bless Me)","2653","19","1933","NG","LA"
"Fat Joe & Lil Wayne","Make It Rain","4184","19","3381","GH","AA"
"Buta","24h","5113","19","1739","XK",
"Erma","DYANA","2936","19","1771","NG","EN"
"Dxtiny","Babcock","5026","18","1834","NG","OY"
"Dxtiny, Tension","Sew-Tape","4388","18","3099","NG","LA"
"Sylent Nqo","Huya","1320","18","622","ZW","HA"
"Vybz Kartel","Unstoppable","461","18","349","ZW","HA"
"DJ Kaywise & Phyno","High Way","3914","18","3555","NG","LA"
"Dxtiny","Babcock","3359","18","1865","NG",
"Siicie & Lasmid","Do You Know?","3166","18","2790","LR","MO"
"Fido","Awolowo","7472","18","7209","NG",
"Dxtiny","Uncle Pele","8142","18","5485","NG","ED"
"Fido","Awolowo (Remix)","2496","17","1899","GH","AA"
"4Fargo & Eric Bellinger","Your Love Is Gold","717","17","633","NG","LA"
"Erma","DYANA","2696","17","1793","TZ","02"
"Bella Alubo","Bad Company","1084","17","841","NG","LA"
"Vybz Kartel","God is The Greatest","3352","17","1990","GY","DE"
"Mitski","My Love Mine All Mine","540","17","297","PH","11"
"Qdot, DjFaya","Omo Adugbo","10799","17","8804","NG","LA"
"Danfo Drivers","Danfo Driver (Ragga Version)","2542","17","2003","NG","LA"
"Vybz Kartel","God is The Greatest","3527","17","1545","US","NY"
"TheFeyiii & Boy Muller","Forex Boys","4911","17","2863","NG",
"Ruth B. & Dean Lewis","28 (with Dean Lewis)","4834","17","3984","NG","FC"
"Inès Raguël","Je Tombe","1608","17","1405","NG","EN"
"Squash","Get Up","2398","17","1580","GY","DE"
"Erma","DYANA","2617","17","2001","SL","W"
"Rich Homie Quan","Type of Way","1247","17","765","US","TX"
"Squash","Know Bout Dat","1545","17","440","US","FL"
"Buta & YA NINA","20 Gram","5537","17","1985","XK",
"Mitski","My Love Mine All Mine","187","17","91","US","MI"
"Danfo Drivers","Danfo Driver (Hip Hop Mix)","2419","17","1997","NG","LA"
"Mitski","My Love Mine All Mine","219","16","107","US","NJ"
"Buta","Lilo & Stitch","4293","16","1434","XK",
"DJ Storm featuring U.S.D.A. and Young Jeezy","White Girl (feat. U.S.D.A. & Young Jeezy)","1","16","1","US","LA"
"Adamu Hassan Nagudu","Gasa","2","16","1","NG","LA"
"Dafina Zeqiri & Mossi","Prit","3461","16","2045","XK",
"Eddy G Bomba & Cash Code","Luigi","9707","16","6582","JM",
"Siicie & Lasmid","Do You Know?","2795","16","2473","LR",
"Kuami Eugene","No More","3275","16","2915","GH","AA"
"Ruth B. & Dean Lewis","28 (with Dean Lewis)","4354","16","3233","NG","OY"
"Mac DeMarco","For the First Time","1103","16","418","US","TX"
"Dafina Zeqiri","Ta Dish","2815","16","1516","AL","11"
"Inès Raguël","Je Tombe","3018","16","2583","LR","MO"
"Anike feat. Bayo & Yele","WITH YOU","1012","16","999","GH","AA"
"Ceo Guccii","No Buttonz","894","16","271","US","TX"
"Jahmiel","Greatness Is All I Know","3172","16","2383","GH","AA"
"Erma","DYANA","2359","16","2046","LR",
"Erma","DYANA","2647","16","2323","LR","MO"
"Squash","Know Bout Dat","794","15","206","CA","ON"
"C Stunna & Real Boston Richey","Lose Control","857","15","531","US","FL"
"Tekno","Pana","2012","15","1635","NG","LA"
"Ayetian","Bagga Rrr","3058","15","1980","TT","POS"
"LilBenny","Shattered Backboard","1346","15","380","US","NC"
"Kuami Eugene","Wish Me Well","2746","15","2398","GH","AA"
