"artist","total_plays","total_engagements","unique_users"
"Black Sherif","6553308","77895","967981"
"YoungBoy Never Broke Again","2926897","38403","230143"
"Seyi Vibez","9112888","34236","1853187"
"Rema","2848577","26531","982726"
"Juice WRLD","2476790","23548","367914"
"T.I BLAZE","5515826","23536","1071342"
"Lil Durk","1725324","18527","284550"
"Wizkid","2429435","17830","513676"
"Kweku Smoke","2286790","17577","433557"
"Rod Wave","1397701","16472","209956"
"Zinoleesky","3516126","16150","1140323"
"ODUMODUBLVCK","1628061","15959","340060"
"Asake","4417902","14646","1069724"
"Barry Jhay","1912661","14415","352575"
"Drake","1089446","13704","267519"
"Shallipopi","2164502","13489","785907"
"Burna Boy","3036060","12527","810614"
"Chella","2479977","12466","940107"
"Ken Carson","330578","11427","30398"
"Kodak Black","1417696","11367","249531"
"Lil Baby","915016","11345","167842"
"Future","1613664","11174","328260"
"DJ Amacoz","1529020","10470","783486"
"Kendrick Lamar","897199","9897","263310"
"Didi B","1520233","9770","611165"
"Playboi Carti","761635","9597","86623"
"Kevin Gates","723186","9490","86422"
"Davido","1054414","9464","369390"
"Young Thug","1192808","9293","223852"
"Omah Lay","2554495","9168","617254"
"SHATTA WALE","1647430","8899","463291"
"Kunmie","2273873","8611","1067032"
"Gunna","1079359","8547","190668"
"Billie Eilish","770983","8200","172680"
"Ayo Maff","2813174","8072","1016647"
"Black Sherif & Fireboy DML","1101522","7836","579747"
"G Herbo","282032","7592","44608"
"King Von","922794","7535","161074"
"Vybz Kartel","1455065","7314","312923"
"SZA","458567","7262","132504"
"Lil Kesh","713422","7165","289709"
"Ruger","1221082","6723","417188"
"Himra","525125","6678","101089"
"DJ Spark","605194","6556","423399"
"XXXTENTACION","730864","6548","190751"
"Balloranking","2061907","6432","504054"
"King Paluta","886971","6407","375791"
"Lil Wayne","601097","6358","155984"
"Tml Vibez","1645748","6314","620539"
"Erigga","1596509","6302","288548"
"Tml Vibez, Dj 4kerty","1942826","6120","591818"
"Kizz Daniel","1964739","6038","847549"
"Daddy Lumba","994522","6018","147153"
"Shatta Wale","1016925","5978","274750"
"Bad Bunny","398131","5843","64582"
"Mercy Chinwo","919748","5839","343160"
"Pop Smoke","455469","5736","129265"
"Rybeena","1867975","5728","578795"
"Central Cee","793541","5713","199700"
"PARTYNEXTDOOR","477588","5712","115618"
"T.I Blaze","1660949","5701","379018"
"Hurricane Wisdom","560353","5697","111361"
"Chris Brown","513992","5514","182370"
"Naira Marley","1417039","5506","661633"
"Eminem","543892","5423","169363"
"Olamide","1669654","5276","611245"
"BigXthaPlug","618008","5229","113386"
"Olivetheboy","434993","5206","248360"
"SenpaiðŸ§‰ðŸ’•","63573","5167","14710"
"Mohbad","1252130","5142","391168"
"Attitude Rap","1103247","5129","87783"
"The Weeknd","327876","4957","78200"
"BossMan Dlow","194239","4872","49872"
"Sarkodie","1008637","4516","411645"
"Fireboy DML","1545645","4464","594138"
"Amerado","591616","4453","285332"
"Justin Bieber","319423","4424","121138"
"Stray Kids","165831","4404","17176"
"Wally B. Seck","514396","4402","74531"
"Bella Shmurda","1365984","4342","412877"
"NoCap","386900","4338","70678"
"Hunxho","408836","4326","53761"
"Teni","1239227","4265","628538"
"Rihanna","211308","4224","75946"
"Fido","1256927","4207","807835"
"Fameye","685245","4182","319639"
"Destiny4real","30490","4170","2852"
"Moneybagg Yo","272947","4121","56524"
"Dax","714948","4043","154701"
"Lasmid","641526","4028","329031"
"Wendy Shay","576789","4025","226831"
"Roddy Ricch","727100","4017","160929"
"Raq baby","416164","4005","73738"
"Joeboy","903373","3991","312918"
"BLACK SHERIF","314999","3944","31911"
"Black Sherif & Seyi Vibez","232679","3932","145176"
"Polo G","480621","3926","120016"
"Ayra Starr","619328","3893","291195"
"Lil Uzi Vert","256625","3875","60249"
"Stonebwoy","517182","3843","156238"
